Period, Reward, Time
6440, 20.55511474609375, 0.00099945068359375
6460, -3360.005111694336, 0.004015922546386719
6480, -6907.150115966797, 0.0060155391693115234
6500, -10623.841018676758, 64.60846042633057
6520, -10512.779922485352, 222.98028349876404
6540, -14078.035507202148, 381.69393014907837
6560, -15612.514114379883, 540.1401376724243
6580, -16755.307693481445, 698.7172634601593
6600, -17808.06182861328, 857.5554149150848
6620, -18988.347091674805, 1011.5089685916901
6640, -19174.928894042954, 1162.832004070282
6660, -20560.03387451172, 1314.194213628769
6680, -20828.045349121094,
6440, 134.43603515625, 1549.5809381008148
6460, 2.708587646484375, 1709.1132011413574
6480, 127.28347778320312, 1869.3948721885681
6500, 556.1970520019531, 2032.268733739853
6520, 2204.376449584961, 2193.74307179451
6540, 4014.901657104492, 2354.2760231494904
6560, 6406.675567626953, 2513.9850113391876
6580, 10256.884765625, 2667.283945083618
6600, 10783.53042602539, 2821.0724997520447
6620, 11060.732421875, 2976.055507659912
6640, 11099.76684570314, 3130.5167236328125
6660, 15693.206481933594, 3286.254175424576
6680, 14173.642044067383,
6440, 175.1628875732422, 3527.891241312027
6460, -684.0272521972656, 3683.2077012062073
6480, 567.3105621337891, 3849.5902950763702
6500, 1105.4485321044922, 4014.5243740081787
6520, 3034.069290161133, 4181.826020717621
6540, 7469.441223144531, 4345.54972743988
6560, 11299.290161132812, 4509.1673312187195
6580, 15303.21792602539, 4671.592721700668
6600, 15850.516357421875, 4834.782766580582
6620, 16138.58901977539, 4998.951729297638
6640, 16179.15420532228, 5167.894344329834
6660, 20952.728729248047, 5338.000014305115
6680, 20546.882781982422,
